,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
30786,41,40000,RENT,3.0,PERSONAL,A,9200,7.49,0,0.23,N,13
29460,44,28000,OWN,0.0,VENTURE,A,3500,8.94,0,0.13,N,12
7059,22,56000,RENT,0.0,DEBTCONSOLIDATION,B,7000,11.36,0,0.13,N,2
5377,24,45000,MORTGAGE,2.0,PERSONAL,A,7200,7.29,0,0.16,N,4
27170,28,55000,RENT,3.0,HOMEIMPROVEMENT,E,15000,17.06,0,0.27,Y,5
11698,22,75000,MORTGAGE,6.0,EDUCATION,A,5000,7.74,0,0.07,N,4
10808,23,42000,RENT,0.0,MEDICAL,B,10000,,0,0.24,N,4
24811,31,89000,RENT,1.0,VENTURE,B,10000,10.99,0,0.11,N,9
18515,35,23400,OWN,12.0,EDUCATION,D,5000,15.33,0,0.21,N,9
26025,27,33600,OWN,1.0,PERSONAL,B,21250,8.88,0,0.63,N,6
26276,28,100000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,8.9,0,0.07,N,10
3960,23,39689,OWN,1.0,VENTURE,C,13000,13.57,0,0.33,Y,2
20127,29,38400,OWN,4.0,VENTURE,B,10000,,0,0.26,N,8
30272,40,50000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,6000,14.96,0,0.12,Y,16
32457,59,42000,RENT,14.0,PERSONAL,A,9600,7.66,0,0.23,N,19
26225,29,98736,OWN,13.0,VENTURE,B,9000,11.89,0,0.09,N,6
566,26,19200,OTHER,0.0,PERSONAL,C,7500,11.97,1,0.39,Y,2
24218,33,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,3000,13.57,0,0.04,Y,9
19778,32,49000,RENT,13.0,HOMEIMPROVEMENT,B,3500,10.65,1,0.07,N,6
13650,22,95000,MORTGAGE,2.0,MEDICAL,B,5000,10.59,0,0.05,N,2
2772,22,56000,RENT,1.0,EDUCATION,A,12000,6.91,0,0.21,N,2
658,25,54000,RENT,6.0,PERSONAL,B,20000,8.88,1,0.37,N,3
4678,24,82500,RENT,8.0,MEDICAL,A,9800,7.51,0,0.12,N,4
26268,27,100000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,7600,6.03,0,0.08,N,9
27332,29,65000,RENT,4.0,EDUCATION,D,15000,16.0,0,0.23,N,8
264,24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3
3402,26,58195,RENT,3.0,PERSONAL,B,11000,9.91,0,0.19,N,2
28073,28,31000,OWN,0.0,PERSONAL,A,1000,7.4,0,0.03,N,7
889,24,13728,RENT,,DEBTCONSOLIDATION,B,1000,10.0,1,0.07,N,4
11459,24,75000,MORTGAGE,4.0,VENTURE,B,16000,12.42,0,0.21,N,2
27608,27,150000,MORTGAGE,11.0,PERSONAL,A,9000,9.63,0,0.06,N,10
15723,26,157500,MORTGAGE,4.0,PERSONAL,B,25000,11.86,0,0.16,N,3
25482,27,36000,RENT,4.0,HOMEIMPROVEMENT,D,3000,15.62,1,0.08,N,7
12276,24,35000,RENT,1.0,VENTURE,A,12000,6.54,1,0.34,N,2
16322,23,50000,RENT,4.0,VENTURE,B,18225,10.74,1,0.36,N,3
18543,29,45000,RENT,8.0,MEDICAL,C,18250,14.27,1,0.41,N,6
12868,25,42264,RENT,3.0,DEBTCONSOLIDATION,B,3000,10.71,0,0.07,N,2
20957,31,50000,RENT,5.0,MEDICAL,A,8800,6.17,0,0.18,N,9
20303,28,90000,RENT,0.0,VENTURE,C,4000,13.49,0,0.04,N,8
29286,37,40000,RENT,1.0,VENTURE,C,21250,12.99,1,0.53,N,16
32300,51,667680,MORTGAGE,19.0,PERSONAL,C,10000,13.98,0,0.01,Y,22
18762,35,29311,RENT,,EDUCATION,A,1000,7.49,0,0.03,N,9
26905,27,118000,MORTGAGE,3.0,PERSONAL,A,10000,6.17,0,0.08,N,6
2432,23,32000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,15000,11.58,0,0.47,N,4
21505,33,48000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6000,,0,0.13,N,10
5914,21,18000,RENT,1.0,HOMEIMPROVEMENT,F,5600,18.09,1,0.31,N,4
10393,23,67200,MORTGAGE,7.0,VENTURE,A,16000,6.03,0,0.24,N,2
10548,26,68500,MORTGAGE,7.0,MEDICAL,A,9000,7.88,0,0.13,N,4
30740,42,44000,RENT,0.0,EDUCATION,C,8400,13.57,1,0.19,Y,13
20139,27,38400,MORTGAGE,3.0,DEBTCONSOLIDATION,C,15000,12.68,0,0.39,N,5
28517,27,75000,RENT,2.0,EDUCATION,A,14000,9.63,0,0.19,N,5
30118,41,21000,RENT,1.0,MEDICAL,A,5500,5.79,0,0.26,N,14
5067,21,37200,MORTGAGE,3.0,MEDICAL,A,16800,6.17,1,0.45,N,2
12462,21,81600,MORTGAGE,6.0,EDUCATION,A,14400,6.92,0,0.18,N,4
20344,29,40000,MORTGAGE,9.0,VENTURE,A,5000,6.99,0,0.13,N,9
1633,25,28000,MORTGAGE,3.0,EDUCATION,A,5000,8.0,0,0.18,N,2
24819,29,76200,MORTGAGE,13.0,EDUCATION,A,20000,6.91,0,0.26,N,7
13077,26,87800,MORTGAGE,5.0,EDUCATION,A,12000,5.79,0,0.14,N,4
15156,25,125000,MORTGAGE,1.0,EDUCATION,B,20000,11.71,0,0.16,N,4
5382,21,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6250,5.42,0,0.14,N,3
25628,35,88000,MORTGAGE,18.0,MEDICAL,B,9800,12.69,0,0.11,N,10
1381,25,26400,MORTGAGE,1.0,HOMEIMPROVEMENT,A,7500,8.9,0,0.28,N,3
13921,23,98000,MORTGAGE,3.0,VENTURE,A,10000,8.94,0,0.1,N,3
21201,30,45600,MORTGAGE,5.0,HOMEIMPROVEMENT,A,5000,7.29,0,0.11,N,8
14019,25,70000,RENT,2.0,HOMEIMPROVEMENT,B,14000,9.99,0,0.2,N,2
4473,26,40800,MORTGAGE,3.0,PERSONAL,A,7500,7.88,0,0.18,N,2
29828,37,39960,OWN,21.0,PERSONAL,A,5600,6.54,0,0.14,N,16
11606,25,75000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,9600,5.42,0,0.13,N,4
25400,31,64450,RENT,3.0,VENTURE,C,12000,12.73,0,0.19,N,8
280,26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4
21818,34,50000,MORTGAGE,18.0,EDUCATION,A,6000,7.14,0,0.12,N,8
17762,24,31000,RENT,8.0,VENTURE,C,13500,13.43,1,0.44,Y,4
19144,32,30000,OWN,4.0,MEDICAL,D,3000,15.65,0,0.1,Y,6
2711,24,50000,RENT,1.0,HOMEIMPROVEMENT,A,12000,7.51,0,0.24,N,4
2054,22,30000,OWN,,VENTURE,C,7000,13.98,0,0.23,Y,2
2760,24,34000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,6000,14.11,0,0.18,N,4
14516,26,39000,RENT,2.0,EDUCATION,C,2000,12.98,0,0.05,N,4
1045,23,82000,RENT,7.0,MEDICAL,A,18000,,0,0.22,N,2
2523,21,20004,RENT,2.0,EDUCATION,B,3000,10.37,0,0.15,N,3
15761,22,165500,MORTGAGE,6.0,EDUCATION,C,12000,12.99,0,0.07,Y,3
6217,23,28000,RENT,0.0,EDUCATION,A,6000,9.63,0,0.21,N,4
27169,33,125000,MORTGAGE,2.0,MEDICAL,A,20000,7.88,0,0.16,N,5
5548,24,67200,RENT,4.0,EDUCATION,B,5000,,0,0.07,N,4
14434,24,106800,MORTGAGE,8.0,PERSONAL,C,16000,13.06,0,0.15,Y,4
17729,22,60000,RENT,0.0,VENTURE,A,5500,7.88,0,0.09,N,3
8893,25,60000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,6500,5.79,0,0.11,N,4
30506,37,48000,RENT,3.0,MEDICAL,D,7500,16.29,0,0.16,N,14
28033,30,25000,RENT,,PERSONAL,B,3500,11.11,0,0.14,N,6
13689,26,95000,MORTGAGE,0.0,EDUCATION,D,20000,14.96,0,0.21,N,3
23601,32,37000,RENT,16.0,MEDICAL,A,9000,6.92,0,0.24,N,8
4114,26,30000,RENT,1.0,EDUCATION,D,4200,16.49,1,0.14,N,3
9000,26,53688,RENT,11.0,DEBTCONSOLIDATION,A,8000,5.42,0,0.15,N,4
25301,33,83000,MORTGAGE,14.0,DEBTCONSOLIDATION,A,18000,8.49,0,0.22,N,6
32281,41,24000,OWN,3.0,EDUCATION,C,4500,12.99,0,0.19,Y,12
17678,22,35325,RENT,2.0,EDUCATION,D,6500,15.95,1,0.18,N,3
4854,23,42000,OWN,7.0,PERSONAL,B,4400,11.89,0,0.1,N,4
15969,26,139992,MORTGAGE,0.0,EDUCATION,B,14400,,0,0.1,N,4
23441,29,77000,RENT,0.0,EDUCATION,A,8225,,0,0.11,N,10
29341,41,150000,RENT,13.0,PERSONAL,F,20000,19.47,0,0.13,N,15
8750,23,60000,MORTGAGE,7.0,PERSONAL,A,6000,8.9,0,0.1,N,4
19694,30,23000,RENT,5.0,VENTURE,D,3250,14.11,0,0.14,Y,7
10749,24,64000,MORTGAGE,8.0,PERSONAL,A,14500,5.42,1,0.23,N,2
14898,22,26000,OWN,2.0,EDUCATION,A,7100,7.49,0,0.27,N,2
31314,47,86500,MORTGAGE,13.0,MEDICAL,C,24000,,0,0.28,N,17
13673,22,95000,MORTGAGE,1.0,EDUCATION,C,7200,12.23,0,0.08,Y,4
15841,26,198000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,12000,5.99,0,0.06,N,4
26564,27,106000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,4000,11.71,0,0.04,N,6
29254,40,45000,RENT,15.0,EDUCATION,B,24000,10.65,1,0.53,N,11
16855,21,102000,RENT,5.0,VENTURE,D,10000,,0,0.1,Y,3
21198,27,45600,MORTGAGE,3.0,HOMEIMPROVEMENT,A,1450,8.49,0,0.03,N,8
15807,25,178364,MORTGAGE,9.0,PERSONAL,E,8000,15.68,0,0.04,Y,2
9625,22,63000,MORTGAGE,6.0,VENTURE,A,8400,7.29,0,0.13,N,4
26909,29,118400,MORTGAGE,11.0,EDUCATION,A,35000,7.9,0,0.3,N,8
17836,33,77100,RENT,6.0,DEBTCONSOLIDATION,A,35000,8.49,1,0.45,N,9
21583,28,35000,RENT,2.0,EDUCATION,B,6000,11.89,0,0.17,N,10
11246,24,72100,MORTGAGE,2.0,EDUCATION,B,16000,10.25,0,0.22,N,4
28607,34,30000,MORTGAGE,4.0,PERSONAL,A,4300,7.9,0,0.14,N,9
16291,24,40000,MORTGAGE,2.0,VENTURE,B,2500,9.99,0,0.06,N,3
19179,34,72000,RENT,17.0,MEDICAL,C,2400,13.16,0,0.03,N,8
15650,25,150000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,25000,10.25,0,0.17,N,2
19375,35,21600,RENT,0.0,DEBTCONSOLIDATION,C,3000,14.35,0,0.14,N,9
18760,33,26400,RENT,3.0,MEDICAL,B,1000,10.99,0,0.04,N,7
22763,31,160000,RENT,1.0,HOMEIMPROVEMENT,C,7500,11.28,0,0.05,N,7
18668,34,78000,RENT,0.0,DEBTCONSOLIDATION,A,16800,7.37,0,0.22,N,5
3259,21,110000,RENT,0.0,EDUCATION,C,3500,13.99,0,0.03,Y,3
30354,36,24000,RENT,3.0,MEDICAL,A,6500,7.29,0,0.27,N,13
26634,27,39000,RENT,4.0,EDUCATION,D,2000,16.07,0,0.05,N,7
13553,26,93450,MORTGAGE,1.0,HOMEIMPROVEMENT,B,12000,11.26,0,0.13,N,2
30670,43,60000,MORTGAGE,6.0,MEDICAL,B,4800,9.64,0,0.08,N,13
25701,28,140000,RENT,9.0,HOMEIMPROVEMENT,A,12000,7.88,0,0.09,N,7
30928,49,45000,RENT,8.0,PERSONAL,C,10000,14.22,0,0.22,N,12
22026,33,51888,MORTGAGE,13.0,PERSONAL,C,7000,13.98,0,0.13,N,10
26357,29,88000,MORTGAGE,6.0,DEBTCONSOLIDATION,E,16000,16.45,1,0.18,N,8
10358,24,23700,RENT,8.0,VENTURE,A,10000,9.32,1,0.42,N,4
5988,22,48000,OWN,6.0,VENTURE,A,12000,6.03,0,0.25,N,3
3693,22,18000,RENT,6.0,MEDICAL,B,4000,11.49,1,0.22,N,4
26975,30,120000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,3000,11.49,0,0.03,N,8
19456,27,47000,RENT,6.0,PERSONAL,B,3000,10.74,0,0.06,N,5
13438,22,48000,RENT,2.0,EDUCATION,B,2600,11.12,0,0.05,N,3
19903,28,33288,RENT,2.0,EDUCATION,C,10800,12.09,1,0.32,N,6
743,26,78000,RENT,8.0,HOMEIMPROVEMENT,C,20000,13.85,0,0.26,Y,4
27672,32,160000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,12000,7.88,0,0.07,N,8
27362,33,135000,MORTGAGE,0.0,VENTURE,A,10000,7.51,0,0.07,N,10
24138,32,70000,MORTGAGE,5.0,VENTURE,A,14000,7.49,0,0.2,N,10
21033,34,50004,RENT,5.0,VENTURE,B,8500,9.45,0,0.17,N,6
376,25,125800,MORTGAGE,0.0,MEDICAL,D,10000,14.09,1,0.07,N,4
14351,25,36000,RENT,0.0,VENTURE,D,14500,14.54,1,0.4,Y,2
24205,28,54400,MORTGAGE,6.0,MEDICAL,D,5000,16.07,1,0.08,N,8
10729,24,70000,MORTGAGE,2.0,PERSONAL,A,17000,7.51,0,0.24,N,4
2503,22,18000,RENT,0.0,MEDICAL,C,3000,13.99,1,0.17,Y,4
14380,26,93000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,25000,16.0,1,0.27,Y,2
7714,26,30000,RENT,2.0,MEDICAL,B,7000,10.71,0,0.23,N,4
22555,28,55704,MORTGAGE,12.0,DEBTCONSOLIDATION,A,8400,7.51,0,0.15,N,9
20317,28,125000,RENT,1.0,DEBTCONSOLIDATION,C,4000,13.35,0,0.03,Y,5
27297,33,62400,RENT,4.0,EDUCATION,B,15000,11.99,0,0.24,N,8
22707,28,51043,MORTGAGE,12.0,PERSONAL,C,2100,12.29,1,0.04,N,8
29971,50,36000,RENT,0.0,VENTURE,B,5000,10.37,0,0.14,N,16
25802,33,90000,MORTGAGE,5.0,VENTURE,A,4200,8.94,0,0.05,N,5
11668,24,75000,MORTGAGE,8.0,EDUCATION,A,5000,6.76,0,0.07,N,4
20464,27,40000,OTHER,0.0,MEDICAL,A,1200,,0,0.03,N,8
5035,24,37000,MORTGAGE,0.0,MEDICAL,C,8500,12.53,1,0.23,Y,2
10397,23,25920,RENT,4.0,EDUCATION,D,10000,15.58,1,0.39,N,2
21943,31,50402,MORTGAGE,4.0,PERSONAL,C,3000,13.22,0,0.06,N,9
26071,35,95142,MORTGAGE,18.0,PERSONAL,D,12000,14.84,0,0.13,Y,9
2697,23,33990,MORTGAGE,2.0,DEBTCONSOLIDATION,C,1000,10.59,1,0.03,N,2
7966,24,55000,OWN,3.0,MEDICAL,B,16000,,0,0.29,N,3
16991,23,180000,MORTGAGE,2.0,VENTURE,B,5000,9.33,0,0.03,N,2
650,26,59000,RENT,10.0,MEDICAL,A,20000,6.17,1,0.34,N,3
19150,35,39800,RENT,5.0,DEBTCONSOLIDATION,B,2400,11.71,0,0.06,N,10
14858,26,117000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,6000,7.51,0,0.05,N,4
9715,26,36000,RENT,5.0,MEDICAL,B,8550,10.25,1,0.24,N,2
11536,23,59000,RENT,3.0,EDUCATION,D,10000,15.58,1,0.17,N,3
1662,23,22800,RENT,0.0,PERSONAL,C,1600,13.06,0,0.07,N,2
28290,29,32000,RENT,1.0,PERSONAL,D,6525,16.07,1,0.2,Y,9
10588,23,35000,RENT,3.0,DEBTCONSOLIDATION,C,10000,13.22,0,0.29,N,2
12435,22,39000,OWN,6.0,MEDICAL,A,1000,,0,0.03,N,3
29123,36,69000,RENT,20.0,VENTURE,C,35000,,1,0.51,N,15
16863,24,28800,RENT,2.0,MEDICAL,B,8875,,1,0.31,N,4
2752,22,48400,RENT,6.0,VENTURE,C,12000,14.65,1,0.25,Y,3
11033,22,30000,RENT,3.0,EDUCATION,C,4100,14.26,0,0.14,Y,3
14824,26,47000,RENT,7.0,MEDICAL,A,15000,7.9,1,0.32,N,4
30974,36,48450,RENT,2.0,DEBTCONSOLIDATION,C,10000,13.61,0,0.21,N,15
15992,23,30000,RENT,2.0,DEBTCONSOLIDATION,D,10000,15.31,1,0.33,Y,4
20315,28,110000,RENT,3.0,DEBTCONSOLIDATION,B,4000,12.18,0,0.04,N,9
15471,25,138000,MORTGAGE,3.0,EDUCATION,C,9000,12.22,0,0.07,N,3
20791,32,36500,RENT,2.0,HOMEIMPROVEMENT,A,5000,6.91,1,0.14,N,5
31494,39,100000,MORTGAGE,5.0,VENTURE,B,12000,,0,0.12,N,13
22041,28,52000,OWN,6.0,HOMEIMPROVEMENT,B,14000,12.42,0,0.27,N,10
9903,24,65000,OWN,6.0,PERSONAL,D,4400,16.89,0,0.07,N,2
19648,32,35000,MORTGAGE,11.0,DEBTCONSOLIDATION,C,4000,13.61,0,0.11,Y,5
6995,23,51000,MORTGAGE,7.0,VENTURE,A,10000,6.03,0,0.2,N,3
